제목,장르,줄거리있음
월드워 Z,"액션, 공포, SF",O
빅 히어로,"모험, 가족, 애니메이션, 액션, 코미디",X
로그 원: 스타워즈 스토리,"액션, 모험, SF",O
에이리언,"공포, SF",X
스파이더맨 2,"액션, 모험, SF",O
이터널 선샤인,"SF, 드라마, 로맨스",O
스타워즈 에피소드 8: 라스트 제다이,"모험, 액션, SF",X
그래비티,"SF, 스릴러, 드라마",X
메멘토,"미스터리, 스릴러",X
엑스맨: 데이즈 오브 퓨처 패스트,"액션, 모험, SF",O
맨 오브 스틸,"액션, 모험, SF",X
디파티드,"드라마, 스릴러, 범죄",O
레옹,"범죄, 드라마, 액션",O
그랜드 부다페스트 호텔,"코미디, 드라마",O
찰리와 초콜릿 공장,"모험, 코미디, 가족, 판타지",O
007 스카이폴,"액션, 모험, 스릴러",O
슈퍼배드,"애니메이션, 코미디, 범죄, SF, 가족",X
미녀와 야수,"가족, 판타지, 로맨스",O
스타워즈 에피소드 1: 보이지 않는 위험,"모험, 액션, SF",X
토이 스토리 3,"애니메이션, 가족, 코미디",X
브이 포 벤데타,"액션, 스릴러, SF",O
블랙 스완,"드라마, 스릴러, 공포",X
캐리비안의 해적: 세상의 끝에서,"모험, 판타지, 액션",O
저수지의 개들,"범죄, 스릴러",O
호빗: 다섯 군대 전투,"액션, 모험, 판타지",O
콰이어트 플레이스,"공포, 드라마, SF",O
그녀,"로맨스, SF, 드라마",X
헤이트풀8,"드라마, 미스터리, 서부",O
스파이더맨 3,"액션, 모험, SF",O
블레이드 러너 2049,"SF, 드라마",O
카,"애니메이션, 모험, 코미디, 가족",X
엣지 오브 투모로우,"액션, SF",X
킬 빌: 2부,"액션, 범죄, 스릴러",O
블레이드 러너,"SF, 드라마, 스릴러",O
토이 스토리 2,"애니메이션, 코미디, 가족",O
듄,"SF, 모험",X
스타워즈 에피소드 3: 시스의 복수,"모험, 액션, SF",O
캐리비안의 해적: 낯선 조류,"모험, 액션, 판타지",O
아쿠아맨,"액션, 모험, 판타지",X
핵소 고지,"드라마, 역사, 전쟁",O
원스 어폰 어 타임 인… 할리우드,"코미디, 드라마, 스릴러",O
맨 인 블랙,"액션, 모험, 코미디, SF",X
이상한 나라의 앨리스,"가족, 판타지, 모험",X
셜록 홈즈,"액션, 모험, 범죄, 미스터리",X
300,"액션, 모험, 전쟁",X
터미네이터,"액션, 스릴러, SF",O
쥬만지: 새로운 세계,"모험, 코미디, 판타지, 액션",O
좋은 친구들,"드라마, 범죄",O
트와일라잇,"판타지, 드라마, 로맨스",X
드래곤 길들이기,"판타지, 모험, 애니메이션, 가족",X
터미네이터 2: 심판의 날,"액션, 스릴러, SF",O
스타워즈 에피소드 2: 클론의 습격,"모험, 액션, SF",O
아이스 에이지,"애니메이션, 코미디, 가족, 모험",X
존 윅: 리로드,"액션, 스릴러, 범죄",O
엑스 마키나,"드라마, SF",X
어메이징 스파이더맨 2,"액션, 모험, SF",X
패신저스,"드라마, 로맨스, SF",X
호빗: 스마우그의 폐허,"판타지, 모험, 액션",O
아바타: 물의 길,"액션, 모험, SF",O
앤트맨과 와스프,"액션, 모험, SF",O
메리다와 마법의 숲,"모험, 애니메이션, 가족, 판타지",X
나이브스 아웃,"코미디, 범죄, 미스터리",O
인생은 아름다워,"코미디, 드라마",O
대부 2,"드라마, 범죄",O
빽 투 더 퓨쳐 2,"모험, 코미디, SF",O
굿 윌 헌팅,드라마,O
시계태엽 오렌지,"SF, 범죄",X
악마는 프라다를 입는다,"드라마, 코미디",X
엑스맨: 아포칼립스,"SF, 판타지, 액션",O
가위손,"판타지, 드라마, 로맨스",O
라이프 오브 파이,"모험, 드라마",O
벤자민 버튼의 시간은 거꾸로 간다,"드라마, 판타지, 로맨스",X
모아나,"모험, 코미디, 가족, 애니메이션",X
말레피센트,"판타지, 모험, 액션, 가족, 로맨스",X
인크레더블 2,"액션, 모험, 애니메이션, 가족",O
저스티스 리그,"액션, 모험, SF",X
인디아나 존스: 레이더스,"모험, 액션",O
드라이브,"드라마, 스릴러, 범죄",X
아메리칸 스나이퍼,"전쟁, 액션",X
버드맨,"드라마, 코미디",X
1917,"전쟁, 역사, 드라마",X
엑스맨: 퍼스트 클래스,"액션, SF, 모험",O
다이버전트,"액션, 모험, SF",X
슈렉 2,"애니메이션, 코미디, 가족, 판타지, 로맨스",O
택시 드라이버,"범죄, 드라마",O
도니 다코,"판타지, 드라마, 미스터리",O
퍼시픽 림,"액션, SF, 모험",X
노인을 위한 나라는 없다,"범죄, 스릴러, 서부",O
헝거게임: 더 파이널,"액션, 모험, SF",O
프로메테우스,"SF, 미스터리, 공포",X
미 비포 유,"드라마, 로맨스",X
좀비랜드,"코미디, 공포",X
19곰 테드,"코미디, 판타지",X
소셜 네트워크,드라마,O
프리즈너스,"드라마, 스릴러, 범죄",X
스카페이스,"액션, 범죄, 드라마",X
주먹왕 랄프,"가족, 애니메이션, 코미디, 모험",O
아메리칸 뷰티,드라마,X
위대한 개츠비,"드라마, 로맨스",O
퓨리,"전쟁, 드라마, 액션",X
그린 북,"드라마, 코미디, 역사",X
식스 센스,"미스터리, 스릴러, 드라마",O
셰이프 오브 워터: 사랑의 모양,"드라마, 판타지, 로맨스",X
캐리비안의 해적: 죽은 자는 말이 없다,"모험, 액션, 판타지",X
쥬라기 월드: 폴른 킹덤,"모험, SF, 스릴러",O
