제목,연도,장르,평점,출연,줄거리있음
대부,1972,"드라마, 범죄",8.687,"말론 브란도, 알 파치노, 제임스 칸, 로버트 듀발, 리차드 S. 카텔라노",O
가디언즈 오브 갤럭시 Vol. 2,2017,"SF, 모험, 액션",7.61,"크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼",O
퍼스트 어벤져,2011,"액션, 모험, SF",7.009,"크리스 에반스, 헤일리 앳웰, 세바스찬 스탠, 토미 리 존스, 휴고 위빙",O
배트맨 비긴즈,2005,"드라마, 범죄, 액션",7.728,"크리스찬 베일, 마이클 케인, 리암 니슨, 케이티 홈즈, 게리 올드만",O
아이언맨 2,2010,"모험, 액션, SF",6.854,"로버트 다우니 주니어, 기네스 팰트로, 돈 치들, 스칼렛 요한슨, 샘 록웰",O
스타워즈 에피소드 4: 새로운 희망,1977,"모험, 액션, SF",8.206,"마크 해밀, 해리슨 포드, 캐리 피셔, 피터 커싱, 앨릭 기니스",X
토르: 천둥의 신,2011,"모험, 판타지, 액션",6.771,"크리스 헴스워스, 나탈리 포트만, 톰 히들스턴, 안소니 홉킨스, 스텔란 스카스가드",X
캐리비안의 해적: 블랙펄의 저주,2003,"모험, 판타지, 액션",7.829,"조니 뎁, 제프리 러쉬, 올랜도 블룸, 키이라 나이틀리, 잭 대븐포트",X
해리 포터와 불의 잔,2005,"모험, 판타지",7.803,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 브렌던 글리슨, 마이클 갬본",O
수어사이드 스쿼드,2016,"액션, 모험, 판타지",5.917,"윌 스미스, 자레드 레토, 마고 로비, 조엘 킨나만, 비올라 데이비스",X
스파이더맨: 노 웨이 홈,2021,"액션, 모험, SF",7.934,"톰 홀랜드, 젠데이아, 베네딕트 컴버배치, 제이콥 배털런, 존 파브로",O
토르: 라그나로크,2017,"액션, SF, 코미디",7.582,"크리스 헴스워스, 마크 러팔로, 톰 히들스턴, 케이트 블란쳇, 이드리스 엘바",O
해리 포터와 죽음의 성물 2,2011,"모험, 판타지",8.08,"다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트, 랄프 파인즈, 앨런 릭먼",O
빽 투 더 퓨쳐,1985,"모험, 코미디, SF",8.326,"마이클 J. 폭스, 크리스토퍼 로이드, 크리스핀 글로버, 리 톰슨, 클로디아 웰즈",O
업,2009,"애니메이션, 코미디, 가족, 모험",7.962,"에드워드 애스너, 크리스토퍼 플러머, Jordan Nagai, 밥 피터슨, 델로이 린도",X
쥬라기 월드,2015,"모험, SF, 스릴러",6.702,"크리스 프랫, 브라이스 댈러스 하워드, 이르판 칸, 빈센트 도노프리오, 타이 심킨스",O
마션,2015,"SF, 드라마, 모험",7.702,"맷 데이먼, 제시카 차스테인, 크리스틴 위그, 제프 다니엘스, 마이클 페냐",X
코코,2017,"가족, 애니메이션, 음악, 모험",8.198,"Anthony Gonzalez, 가엘 가르시아 베르날, 벤저민 브랫, Alanna Ubach, Renée Victor",X
글래디에이터,2000,"액션, 드라마, 모험",8.227,"러셀 크로우, 호아킨 피닉스, 코니 닐센, 올리버 리드, 리처드 해리스",X
원더 우먼,2017,"액션, 모험, 판타지",7.208,"갤 가돗, 크리스 파인, 코니 닐센, 로빈 라이트, 대니 휴스턴",X
존 윅,2014,"액션, 스릴러",7.5,"키아누 리브스, 미카엘 니크비스트, 알피 앨런, 윌렘 대포, 딘 윈터스",X
앤트맨,2015,"SF, 모험, 액션",7.067,"폴 러드, 마이클 더글라스, 에반젤린 릴리, 코리 스톨, 바비 카나베일",X
해리 포터와 불사조 기사단,2007,"모험, 판타지",7.672,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 이멜다 스턴튼, 헬레나 본햄 카터",O
해리 포터와 혼혈왕자,2009,"모험, 판타지",7.7,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 짐 브로드벤트, 마이클 갬본",O
기생충,2019,"코미디, 스릴러, 드라마",8.492,"송강호, 이선균, 조여정, 최우식, 박소담",X
스파이더맨,2002,"액션, SF",7.334,"토비 맥과이어, 윌렘 대포, 커스틴 던스트, 제임스 프랭코, 클리프 로버트슨",X
니모를 찾아서,2003,"애니메이션, 가족, 모험",7.82,"앨버트 브룩스, 엘런 디제너러스, Alexander Gould, 윌렘 대포, 제프리 러쉬",O
스타워즈 에피소드 7: 깨어난 포스,2015,"모험, 액션, SF",7.248,"데이지 리들리, 존 보예가, 오스카 아이작, 애덤 드라이버, 캐리 피셔",O
로건,2017,"액션, 드라마, SF",7.82,"휴 잭맨, 다프네 킨, 패트릭 스튜어트, Elizabeth Rodriguez, 보이드 홀브룩",X
해리 포터와 죽음의 성물 1,2010,"모험, 판타지",7.734,"다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트, 토비 존스, 헬레나 본햄 카터",O
월•E,2008,"애니메이션, 가족, SF",8.116,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, 존 라젠버그",O
그것,2017,"공포, 스릴러, 드라마",7.2,"제이든 리버허, 제레미 레이 테일러, 소피아 릴리스, 핀 울프하드, 초슨 제이콥스",X
트루먼 쇼,1998,"코미디, 드라마",8.155,"짐 캐리, 로라 리니, Noah Emmerich, 나타샤 맥켈혼, 홀랜드 테일러",X
토이 스토리,1995,"가족, 코미디, 애니메이션, 모험",8.0,"톰 행크스, 팀 앨런, 돈 리클리스, 짐 바니, 월리스 숀",O
캡틴 아메리카: 윈터 솔져,2014,"액션, 모험, SF",7.656,"크리스 에반스, 사무엘 L. 잭슨, 스칼렛 요한슨, 로버트 레드포드, 세바스찬 스탠",O
나를 찾아줘,2014,"미스터리, 스릴러, 드라마",7.9,"벤 애플렉, 로저먼드 파이크, 닐 패트릭 해리스, 타일러 페리, 캐리 쿤",X
몬스터 주식회사,2001,"애니메이션, 코미디, 가족, 판타지",7.853,"존 굿맨, 빌리 크리스탈, Mary Gibbs, 스티브 부세미, 제임스 코번",O
