제목,연도,장르,평점,출연,줄거리있음
좋은 친구들,1990,"드라마, 범죄",8.454,"로버트 드 니로, 레이 리오타, 조 페시, 로렌 브라코, 폴 소비노",O
트와일라잇,2008,"판타지, 드라마, 로맨스",6.281,"크리스틴 스튜어트, 로버트 패틴슨, 빌리 버크, 피터 패치넬리, 애슐리 그린",X
드래곤 길들이기,2010,"판타지, 모험, 애니메이션, 가족",7.862,"제이 바루첼, 제라드 버틀러, Craig Ferguson, 아메리카 페레라, 조나 힐",X
터미네이터 2: 심판의 날,1991,"액션, 스릴러, SF",8.154,"아놀드 슈왈제네거, 린다 해밀턴, 에드워드 펄롱, 로버트 패트릭, Earl Boen",O
스타워즈 에피소드 2: 클론의 습격,2002,"모험, 액션, SF",6.595,"헤이든 크리스텐슨, 이완 맥그리거, 나탈리 포트만, 크리스토퍼 리, 사무엘 L. 잭슨",O
아이스 에이지,2002,"애니메이션, 코미디, 가족, 모험",7.379,"레이 로마노, 존 레귀자모, 데니스 리어리, Goran Višnjić, 잭 블랙",X
존 윅: 리로드,2017,"액션, 스릴러, 범죄",7.342,"키아누 리브스, 커먼, 로렌스 피시번, Riccardo Scamarcio, 루비 로즈",O
엑스 마키나,2015,"드라마, SF",7.573,"도널 글리슨, 알리시아 비칸데르, 오스카 아이작, 미즈노 소노야, 코리 존슨",X
어메이징 스파이더맨 2,2014,"액션, 모험, SF",6.545,"앤드류 가필드, 엠마 스톤, 제이미 폭스, 데인 드한, Colm Feore",X
패신저스,2016,"드라마, 로맨스, SF",6.955,"제니퍼 로렌스, 크리스 프랫, 마이클 쉰, 로렌스 피시번, 앤디 가르시아",X
호빗: 스마우그의 폐허,2013,"판타지, 모험, 액션",7.581,"이안 맥켈런, 마틴 프리먼, 리차드 아미티지, 베네딕트 컴버배치, 올랜도 블룸",O
아바타: 물의 길,2022,"액션, 모험, SF",7.594,"샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 케이트 윈슬렛",O
앤트맨과 와스프,2018,"액션, 모험, SF",6.902,"폴 러드, 에반젤린 릴리, 마이클 더글라스, 해나 존 케이먼, 랜들 박",O
메리다와 마법의 숲,2012,"모험, 애니메이션, 가족, 판타지",7.032,"켈리 맥도널드, 엠마 톰슨, Billy Connolly, 줄리 월터스, 로비 콜트레인",X
나이브스 아웃,2019,"코미디, 범죄, 미스터리",7.841,"다니엘 크레이그, 크리스 에반스, 아나 데 아르마스, 제이미 리 커티스, 마이클 섀넌",O
인생은 아름다워,1997,"코미디, 드라마",8.4,"로베르토 베니니, 니콜레타 브라스키, 조르지오 깐따리니, 지우스티노 듀라노, 세르지오 비니 부스트릭",O
대부 2,1974,"드라마, 범죄",8.6,"알 파치노, 로버트 듀발, 다이앤 키튼, 로버트 드 니로, 존 카제일",O
빽 투 더 퓨쳐 2,1989,"모험, 코미디, SF",7.783,"마이클 J. 폭스, 크리스토퍼 로이드, 리 톰슨, 토머스 F. 윌슨, 엘리자베스 슈",O
굿 윌 헌팅,1997,드라마,8.162,"맷 데이먼, 로빈 윌리엄스, 벤 애플렉, 스텔란 스카스가드, 미니 드라이버",O
시계태엽 오렌지,1971,"SF, 범죄",8.176,"말콤 맥도웰, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke",X
악마는 프라다를 입는다,2006,"드라마, 코미디",7.438,"메릴 스트립, 앤 해서웨이, 에밀리 블런트, 스탠리 투치, 사이먼 베이커",X
엑스맨: 아포칼립스,2016,"SF, 판타지, 액션",6.526,"제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스, 니콜라스 홀트, 오스카 아이작",O
가위손,1990,"판타지, 드라마, 로맨스",7.72,"조니 뎁, 위노나 라이더, 다이앤 위스트, Anthony Michael Hall, Kathy Baker",O
라이프 오브 파이,2012,"모험, 드라마",7.4,"Suraj Sharma, 이르판 칸, Ayush Tandon, Gautam Belur, Adil Hussain",O
벤자민 버튼의 시간은 거꾸로 간다,2008,"드라마, 판타지, 로맨스",7.6,"브래드 피트, 케이트 블란쳇, 타라지 P. 헨슨, 줄리아 오먼드, 제이슨 플레밍",X
모아나,2016,"모험, 코미디, 가족, 애니메이션",7.566,"아울리이 크러발리오, 드웨인 존슨, 레이첼 하우스, 테무에라 모리슨, 저메인 클레멘트",X
말레피센트,2014,"판타지, 모험, 액션, 가족, 로맨스",7.088,"안젤리나 졸리, 엘 패닝, 이멜다 스턴튼, 샬토 코플리, 레슬리 맨빌",X
인크레더블 2,2018,"액션, 모험, 애니메이션, 가족",7.454,"크레이그 T. 넬슨, 홀리 헌터, Sarah Vowell, Huck Milner, 캐서린 키너",O
저스티스 리그,2017,"액션, 모험, SF",6.073,"벤 애플렉, 헨리 카빌, 에이미 아담스, 갤 가돗, 에즈라 밀러",X
인디아나 존스: 레이더스,1981,"모험, 액션",7.925,"해리슨 포드, 캐런 앨런, 폴 프리먼, 존 라이스 데이비스, Ronald Lacey",O
드라이브,2011,"드라마, 스릴러, 범죄",7.583,"라이언 고슬링, 캐리 멀리건, 브라이언 크랜스턴, 앨버트 브룩스, 오스카 아이작",X
아메리칸 스나이퍼,2014,"전쟁, 액션",7.4,"브래들리 쿠퍼, 시에나 밀러, 카일 갤너, Cole Konis, Ben Reed",X
버드맨,2014,"드라마, 코미디",7.441,"마이클 키튼, 엠마 스톤, 잭 갤리퍼내키스, 에드워드 노튼, 안드레아 라이즈보로",X
1917,2019,"전쟁, 역사, 드라마",7.987,"조지 맥케이, 딘-찰스 채프먼, 마크 스트롱, 앤드류 스콧, 리차드 매든",X
엑스맨: 퍼스트 클래스,2011,"액션, SF, 모험",7.3,"제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스, 로즈 번, 케빈 베이컨",O
다이버전트,2014,"액션, 모험, SF",6.905,"쉐일린 우들리, 테오 제임스, 애슐리 저드, 제이 코트니, 레이 스티븐슨",X
슈렉 2,2004,"애니메이션, 코미디, 가족, 판타지, 로맨스",7.322,"마이크 마이어스, 에디 머피, 카메론 디아즈, 줄리 앤드류스, 안토니오 반데라스",O
택시 드라이버,1976,"범죄, 드라마",8.1,"로버트 드 니로, 조디 포스터, Cybill Shepherd, 하비 카이텔, Peter Boyle",O
도니 다코,2001,"판타지, 드라마, 미스터리",7.763,"제이크 질렌할, 제나 말론, 제임스 듀발, 드류 배리모어, 베스 그랜트",O
퍼시픽 림,2013,"액션, SF, 모험",6.933,"찰리 허냄, 키쿠치 린코, 이드리스 엘바, 맥스 마티니, Clifton Collins Jr.",X
노인을 위한 나라는 없다,2007,"범죄, 스릴러, 서부",7.949,"하비에르 바르뎀, 토미 리 존스, 조쉬 브롤린, 우디 해럴슨, 켈리 맥도널드",O
헝거게임: 더 파이널,2015,"액션, 모험, SF",6.901,"제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 우디 해럴슨, 엘리자베스 뱅크스",O
프로메테우스,2012,"SF, 미스터리, 공포",6.6,"누미 라파스, 마이클 패스벤더, 샤를리즈 테론, 이드리스 엘바, 가이 피어스",X
미 비포 유,2016,"드라마, 로맨스",7.925,"에밀리아 클라크, 샘 클라플린, 자넷 맥티어, 찰스 댄스, 브렌던 코일",X
좀비랜드,2009,"코미디, 공포",7.259,"제시 아이젠버그, 우디 해럴슨, 엠마 스톤, 아비게일 브레스린, 엠버 허드",X
19곰 테드,2012,"코미디, 판타지",6.454,"마크 월버그, 밀라 쿠니스, 세스 맥팔레인, 조엘 맥헤일, 조반니 리비시",X
소셜 네트워크,2010,드라마,7.4,"제시 아이젠버그, 앤드류 가필드, 아미 해머, 저스틴 팀버레이크, 루니 마라",O
프리즈너스,2013,"드라마, 스릴러, 범죄",8.106,"휴 잭맨, 제이크 질렌할, 비올라 데이비스, 마리아 벨로, 테렌스 하워드",X
스카페이스,1983,"액션, 범죄, 드라마",8.155,"알 파치노, 스티븐 바우어, 미셸 파이퍼, 메리 엘리자베스 매스트란토니오, Robert Loggia",X
주먹왕 랄프,2012,"가족, 애니메이션, 코미디, 모험",7.36,"존 C. 라일리, 세라 실버먼, 잭 맥브레이어, 제인 린치, 앨런 튜딕",O
아메리칸 뷰티,1999,드라마,7.998,"케빈 스페이시, 아네트 베닝, 소라 버치, 웨스 벤틀리, 미나 수바리",X
위대한 개츠비,2013,"드라마, 로맨스",7.35,"레오나르도 디카프리오, 토비 맥과이어, 캐리 멀리건, 조엘 에저튼, 엘리자베스 데비키",O
퓨리,2014,"전쟁, 드라마, 액션",7.547,"브래드 피트, 샤이아 라보프, 로건 러먼, 마이클 페냐, 존 번설",X
그린 북,2018,"드라마, 코미디, 역사",8.226,"비고 모텐슨, 마허샬라 알리, 린다 카델리니, Sebastian Maniscalco, Dimiter D. Marinov",X
식스 센스,1999,"미스터리, 스릴러, 드라마",7.954,"브루스 윌리스, 헤일리 조엘 오스먼트, 토니 콜렛, 올리비아 윌리엄스, Trevor Morgan",O
셰이프 오브 워터: 사랑의 모양,2017,"드라마, 판타지, 로맨스",7.236,"샐리 호킨스, 마이클 섀넌, 리처드 젠킨스, 옥타비아 스펜서, 마이클 스툴바그",X
캐리비안의 해적: 죽은 자는 말이 없다,2017,"모험, 액션, 판타지",6.7,"조니 뎁, 하비에르 바르뎀, 제프리 러쉬, 브렌튼 스웨이츠, 카야 스코델라리오",X
쥬라기 월드: 폴른 킹덤,2018,"모험, SF, 스릴러",6.53,"크리스 프랫, 브라이스 댈러스 하워드, 레이프 스폴, 저스티스 스미스, 다니엘라 피네다",O
혹성탈출: 진화의 시작,2011,"스릴러, 액션, 드라마, SF",7.345,"앤디 서키스, 제임스 프랭코, 프리다 핀토, 존 리스고, 브라이언 콕스",O
2012,2009,"액션, 모험, SF",5.885,"존 쿠삭, 아만다 피트, 치웨텔 에지오포, 탠디 뉴턴, 올리버 플랫",X
컨저링,2013,"공포, 스릴러",7.541,"베라 파미가, 패트릭 윌슨, 릴리 테일러, 론 리빙스턴, Hayley McFarland",O
콜 미 바이 유어 네임,2017,"로맨스, 드라마",8.089,"티모시 샬라메, 아미 해머, 마이클 스툴바그, 아미라 카사르, 에스테르 가렐",X
인크레더블 헐크,2008,"SF, 액션, 모험",6.244,"에드워드 노튼, 리브 타일러, 팀 로스, 윌리엄 허트, 팀 블레이크 넬슨",X
"아이, 로봇",2004,"액션, SF",6.967,"윌 스미스, Bridget Moynahan, 앨런 튜딕, 제임스 크롬웰, 브루스 그린우드",X
쿵푸팬더,2008,"액션, 애니메이션, 코미디, 가족",7.328,"잭 블랙, 더스틴 호프만, 안젤리나 졸리, 이언 맥셰인, 세스 로건",X
도리를 찾아서,2016,"모험, 애니메이션, 가족",7.042,"앨버트 브룩스, 엘런 디제너러스, 에드 오닐, Hayden Rolence, 다이앤 키튼",O
죽은 시인의 사회,1989,드라마,8.299,"로빈 윌리엄스, Robert Sean Leonard, 에단 호크, 조쉬 찰스, Gale Hansen",O
실버라이닝 플레이북,2012,"드라마, 코미디, 로맨스",7.153,"브래들리 쿠퍼, 제니퍼 로렌스, 로버트 드 니로, 재키 위버, Anupam Kher",X
2001 스페이스 오디세이,1968,"SF, 미스터리, 모험",8.05,"Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter",X
너의 이름은.,2016,"애니메이션, 로맨스, 드라마",8.481,"카미키 류노스케, 카미시라이시 모네, 나리타 료, 유우키 아오이, 시마자키 노부나가",O
아메리칸 히스토리 X,1998,드라마,8.327,"에드워드 노튼, 에드워드 펄롱, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",O
오션스 일레븐,2001,"스릴러, 범죄",7.462,"조지 클루니, 브래드 피트, 앤디 가르시아, 맷 데이먼, 줄리아 로버츠",O
노트북,2004,"로맨스, 드라마",7.889,"라이언 고슬링, 레이첼 맥아담스, 지나 롤랜즈, 제임스 가너, 조앤 앨런",O
나 홀로 집에,1990,"코미디, 가족",7.467,"맥컬리 컬킨, 조 페시, 다니엘 스턴, John Heard, Roberts Blossom",O
라푼젤,2010,"애니메이션, 가족, 모험",7.614,"맨디 무어, 재커리 레비, 도나 머피, 론 펄먼, M.C. 게이니",O
아멜리에,2001,"코미디, 로맨스",7.919,"오드리 토투, 마티외 카소비츠, Rufus, Serge Merlin, Jamel Debbouze",O
킥 애스: 영웅의 탄생,2010,"액션, 범죄",7.123,"에런 테일러존슨, 클로이 그레이스 모레츠, 니콜라스 케이지, 린지 폰세카, 마크 스트롱",X
그레이의 50가지 그림자,2015,"드라마, 로맨스, 스릴러",5.9,"다코타 존슨, 제이미 도넌, 제니퍼 엘, 엘로이즈 멈퍼드, Victor Rasuk",O
아메리칸 사이코,2000,"스릴러, 드라마, 범죄",7.4,"크리스찬 베일, 저스틴 서로, 조시 루커스, Bill Sage, 클로이 세비니",O
다이 하드,1988,"액션, 스릴러",7.813,"브루스 윌리스, 앨런 릭먼, Александр Годунов, 보니 베델리아, Reginald VelJohnson",X
캐스트 어웨이,2000,"모험, 드라마",7.663,"톰 행크스, 헬렌 헌트, Nick Searcy, Jenifer Lewis, Geoffrey Blake",X
트랜스포머,2007,"모험, SF, 액션",6.838,"샤이아 라보프, 메간 폭스, Mark Ryan, Peter Cullen, 휴고 위빙",X
혹성탈출: 반격의 서막,2014,"SF, 액션, 드라마, 스릴러",7.339,"앤디 서키스, 제이슨 클라크, 토비 케블, 게리 올드만, 케리 러셀",O
스타 이즈 본,2018,"음악, 드라마, 로맨스",7.492,"레이디 가가, 브래들리 쿠퍼, 샘 엘리엇, Andrew Dice Clay, 래피 게이브런",X
위대한 레보스키,1998,"코미디, 범죄",7.837,"제프 브리지스, 존 굿맨, 줄리앤 무어, 스티브 부세미, David Huddleston",O
엑스맨,2000,"모험, 액션, SF",7.017,"휴 잭맨, 패트릭 스튜어트, 이안 맥켈런, 팜케 얀센, 제임스 마스던",X
인 타임,2011,"액션, 스릴러, SF",6.971,"아만다 사이프리드, 저스틴 팀버레이크, 킬리언 머피, Vincent Kartheiser, 올리비아 와일드",O
테이큰,2008,"액션, 스릴러",7.407,"리암 니슨, 매기 그레이스, 팜케 얀센, Olivier Rabourdin, Katie Cassidy",X
더 배트맨,2022,"범죄, 미스터리, 스릴러",7.663,"로버트 패틴슨, 조이 크래비츠, 제프리 라이트, 콜린 파렐, 폴 다노",X
알라딘,1992,"애니메이션, 가족, 모험, 판타지, 로맨스",7.655,"Scott Weinger, 로빈 윌리엄스, Linda Larkin, Jonathan Freeman, Gilbert Gottfried",O
이티,1982,"모험, SF, 가족",7.5,"헨리 토마스, 드류 배리모어, 로버트 맥노턴, 피터 코요테, 디 월리스",O
노예 12년,2013,"드라마, 역사",7.931,"치웨텔 에지오포, 마이클 패스벤더, 루피타 뇽오, 베네딕트 컴버배치, 폴 다노",X
매트릭스 2: 리로디드,2003,"모험, 액션, 스릴러, SF",7.08,"키아누 리브스, 로렌스 피시번, 캐리 앤 모스, 휴고 위빙, 제이다 핀켓 스미스",X
슈퍼배드 2,2013,"애니메이션, 코미디, 가족, SF",6.945,"스티브 카렐, 크리스틴 위그, 벤저민 브랫, 미란다 코스그로브, Dana Gaier",O
오펜하이머,2023,"드라마, 역사",8.025,"킬리언 머피, 에밀리 블런트, 맷 데이먼, 로버트 다우니 주니어, 플로렌스 퓨",X
제5원소,1997,"SF, 액션, 모험",7.585,"브루스 윌리스, 밀라 요보비치, 게리 올드만, 이안 홈, 크리스 터커",O
존 윅 3: 파라벨룸,2019,"액션, 스릴러, 범죄",7.44,"키아누 리브스, 할리 베리, 이언 맥셰인, 로렌스 피시번, 마크 다카스코스",O
나이트 크롤러,2014,"범죄, 드라마, 스릴러",7.708,"제이크 질렌할, 르네 루소, 리즈 아메드, 빌 팩스턴, Kevin Rahm",X
마다가스카,2005,"모험, 애니메이션, 코미디, 가족",6.925,"벤 스틸러, 크리스 락, 데이빗 쉼머, 제이다 핀켓 스미스, 사샤 바론 코헨",X
007 카지노 로얄,2006,"모험, 액션, 스릴러",7.573,"다니엘 크레이그, 에바 그린, 매즈 미켈슨, 주디 덴치, 제프리 라이트",X
나우 유 씨 미 2,2016,"범죄, 스릴러",6.827,"제시 아이젠버그, 마크 러팔로, 우디 해럴슨, 데이브 프랭코, 다니엘 래드클리프",O
조디악,2007,"범죄, 미스터리, 스릴러",7.532,"제이크 질렌할, 마크 러팔로, 안소니 에드워즈, 로버트 다우니 주니어, 클로이 세비니",X
그랜 토리노,2008,드라마,7.99,"클린트 이스트우드, Christopher Carley, Bee Vang, Ahney Her, Brian Haley",O
죠스,1975,"공포, 스릴러, 모험",7.684,"로이 슈나이더, Robert Shaw, 리처드 드라이퍼스, Lorraine Gary, Murray Hamilton",X
"안녕, 헤이즐",2014,"로맨스, 드라마",7.592,"쉐일린 우들리, 안셀 엘고트, 냇 울프, 로라 던, Sam Trammell",X
빽 투 더 퓨쳐 3,1990,"모험, 코미디, SF",7.494,"마이클 J. 폭스, 크리스토퍼 로이드, 메리 스틴버겐, 토머스 F. 윌슨, 리 톰슨",O
오블리비언,2013,"액션, SF, 모험, 미스터리",6.684,"톰 크루즈, 모건 프리먼, 올가 쿠릴렌코, 안드레아 라이즈보로, 니콜라이 코스테르발다우",X
"나니아 연대기: 사자, 마녀 그리고 옷장",2005,"모험, 가족, 판타지",7.139,"윌리엄 모즐리, 애나 포플웰, 스캔더 케인스, 조지 헨리, 리암 니슨",O
브루스 올마이티,2003,"판타지, 코미디",6.728,"짐 캐리, 모건 프리먼, 제니퍼 애니스턴, 필립 베이커 홀, Catherine Bell",O
풀 메탈 자켓,1987,"드라마, 전쟁",8.117,"매슈 모딘, 애덤 볼드윈, 빈센트 도노프리오, R. 리 이메이, 도리안 헤어우드",O
리미트리스,2011,"스릴러, 미스터리, SF",7.202,"브래들리 쿠퍼, 로버트 드 니로, 에비 코니쉬, 앤드루 하워드, 애나 프리얼",X
뻐꾸기 둥지 위로 날아간 새,1975,드라마,8.411,"잭 니콜슨, Brad Dourif, 루이즈 플레쳐, 대니 드비토, William Redfield",X
판의 미로: 오필리아와 세개의 열쇠,2006,"판타지, 드라마, 전쟁",7.765,"이바나 바케로, 세르지 로페스, 마리벨 베르두, 더그 존스, 아드리아나 길",O
신비한 동물들과 그린델왈드의 범죄,2018,"판타지, 모험",6.834,"에디 레드메인, 캐서린 워터스톤, Dan Fogler, 앨리슨 수돌, 조니 뎁",O
소울,2020,"애니메이션, 가족, 드라마, 음악, 판타지",8.091,"제이미 폭스, 티나 페이, 그레이엄 노튼, 레이첼 하우스, 앨리스 브라가",X
유주얼 서스펙트,1995,"드라마, 범죄, 스릴러",8.167,"Stephen Baldwin, 가브리엘 번, 베니시오 델 토로, 케빈 폴락, 케빈 스페이시",X
슬럼독 밀리어네어,2008,"드라마, 로맨스",7.73,"데브 파텔, 프리다 핀토, Madhur Mittal, 아닐 카푸르, Mahesh Manjrekar",X
몬스터 대학교,2013,"애니메이션, 가족, 코미디, 판타지",7.053,"빌리 크리스탈, 존 굿맨, 스티브 부세미, 헬렌 미렌, 피터 손",O
쥬만지,1995,"모험, 판타지, 가족",7.248,"로빈 윌리엄스, 커스틴 던스트, Bradley Pierce, 보니 헌트, 조나단 하이드",X
마스크,1994,"코미디, 판타지, 범죄, 로맨스",6.992,"짐 캐리, Peter Riegert, 피터 그린, Amy Yasbeck, Richard Jeni",X
분노의 질주: 더 세븐,2015,"액션, 범죄, 스릴러",7.2,"빈 디젤, 폴 워커, 드웨인 존슨, 미셸 로드리게즈, 타이리스 깁슨",O
행오버 2,2011,코미디,6.51,"브래들리 쿠퍼, 에드 헬름스, 잭 갤리퍼내키스, Justin Bartha, Mason Lee",O
블랙 위도우,2021,"액션, 모험, SF",7.166,"스칼렛 요한슨, 플로렌스 퓨, 레이첼 와이즈, 데이비드 하버, 레이 윈스턴",X
엑스맨 탄생: 울버린,2009,"모험, 액션, SF",6.3,"휴 잭맨, 리에브 슈라이버, 대니 휴스턴, 린 콜린스, 케빈 듀랜드",O
007 스펙터,2015,"액션, 모험, 스릴러",6.57,"다니엘 크레이그, 크리스토프 발츠, 레아 세이두, 랄프 파인즈, 모니카 벨루치",X
미스터 & 미세스 스미스,2005,"액션, 코미디, 드라마, 스릴러",6.695,"안젤리나 졸리, 브래드 피트, 빈스 본, 애덤 브로디, 케리 워싱턴",X
월플라워,2012,드라마,7.8,"로건 러먼, 엠마 왓슨, 에즈라 밀러, 메이 휘트먼, 케이트 월시",O
분노의 질주: 더 맥시멈,2013,"액션, 스릴러, 범죄",6.817,"빈 디젤, 폴 워커, 드웨인 존슨, 조다나 브루스터, 미셸 로드리게즈",X
베놈 2: 렛 데어 비 카니지,2021,"SF, 액션, 모험",6.7,"톰 하디, 우디 해럴슨, 미셸 윌리엄스, 나오미 해리스, 리드 스콧",X
바비,2023,"코미디, 모험, 판타지",6.918,"마고 로비, 라이언 고슬링, 아메리카 페레라, 아리아나 그린블랫, 이사 레이",X
테넷,2020,"액션, 스릴러, SF",7.2,"존 데이비드 워싱턴, 로버트 패틴슨, 엘리자베스 데비키, 케네스 브래너, Dimple Kapadia",O
콩: 스컬 아일랜드,2017,"액션, 모험, 판타지",6.555,"톰 히들스턴, 사무엘 L. 잭슨, 존 굿맨, 브리 라슨, 경첨",O
킹스맨: 골든 서클,2017,"액션, 모험, 코미디, 범죄, SF",6.9,"태런 에저턴, 콜린 퍼스, 줄리앤 무어, 마크 스트롱, 한나 알스트룀",O
브레이브하트,1995,"액션, 드라마, 역사, 전쟁",7.945,"멜 깁슨, 캐서린 맥코맥, 소피 마르소, Patrick McGoohan, Angus Macfadyen",O
하울의 움직이는 성,2004,"판타지, 애니메이션, 모험",8.388,"바이쇼 치에코, 기무라 타쿠야, 미와 아키히로, 가슈인 타츠야, 카미키 류노스케",X
사랑에 대한 모든 것,2014,"드라마, 로맨스",7.83,"에디 레드메인, 펠리시티 존스, 찰리 콕스, 에밀리 왓슨, 사이먼 맥버니",X
뷰티풀 마인드,2001,"드라마, 로맨스",7.855,"러셀 크로우, 제니퍼 코넬리, 에드 해리스, 폴 베타니, 크리스토퍼 플러머",O
미니언즈,2015,"가족, 애니메이션, 모험, 코미디",6.42,"산드라 블록, 존 햄, 마이클 키튼, 앨리슨 제니, 스티브 쿠건",X
인디아나 존스: 최후의 성전,1989,"모험, 액션",7.853,"해리슨 포드, 숀 코너리, Denholm Elliott, Alison Doody, 존 라이스 데이비스",O
트로이,2004,"전쟁, 액션, 역사",7.178,"브래드 피트, 올랜도 블룸, 에릭 배너, 브라이언 콕스, 숀 빈",X
탑건: 매버릭,2022,"액션, 드라마",8.2,"톰 크루즈, 마일스 텔러, 제니퍼 코넬리, 바시르 살라후딘, 존 햄",X
500일의 썸머,2009,"코미디, 드라마, 로맨스",7.303,"조셉 고든레빗, 주이 디샤넬, Geoffrey Arend, 클로이 그레이스 모레츠, Matthew Gray Gubler",O
메이즈 러너: 스코치 트라이얼,2015,"SF, 액션, 스릴러, 모험",6.73,"딜런 오브라이언, 카야 스코델라리오, 토머스 브로디생스터, 지안카를로 에스포지토, 이기홍",O
21 점프 스트리트,2012,"액션, 코미디, 범죄",6.887,"조나 힐, 채닝 테이텀, 브리 라슨, 데이브 프랭코, Rob Riggle",X
레퀴엠,2000,"범죄, 드라마",8.011,"앨런 버스틴, 자레드 레토, 제니퍼 코넬리, 말런 웨이언스, 크리스토퍼 맥도널드",O
싸이코,1960,"공포, 스릴러, 미스터리",8.413,"안소니 퍼킨스, 자넷 리, 베라 마일스, John Gavin, 마틴 발삼",X
맨 인 블랙 3,2012,"액션, 코미디, SF",6.546,"윌 스미스, 토미 리 존스, 조쉬 브롤린, 저메인 클레멘트, 엠마 톰슨",O
박물관이 살아있다!,2006,"판타지, 가족, 코미디",6.6,"벤 스틸러, 칼라 구지노, 딕 밴 다이크, 미키 루니, 빌 콥스",O
셜록 홈즈: 그림자 게임,2011,"액션, 모험, 미스터리, 범죄",7.145,"로버트 다우니 주니어, 주드 로, 누미 라파스, 자레드 해리스, 레이첼 맥아담스",O
루퍼,2012,"액션, 스릴러, SF",6.911,"조셉 고든레빗, 브루스 윌리스, 에밀리 블런트, 폴 다노, 노아 시건",X
쓰리 빌보드,2017,"범죄, 드라마",8.1,"프랜시스 맥도맨드, 우디 해럴슨, 샘 록웰, 에비 코니쉬, 루카스 헤지스",O
엑스맨  2,2003,"모험, 액션, SF",7.04,"휴 잭맨, 패트릭 스튜어트, 이안 맥켈런, 제임스 마스던, 브라이언 콕스",X
에이리언 2,1986,"액션, 스릴러, SF",7.965,"시고니 위버, Carrie Henn, 마이클 빈, 폴 라이저, 랜스 헨릭슨",X
스타워즈 에피소드 9: 라이즈 오브 스카이워커,2019,"모험, 액션, SF",6.264,"캐리 피셔, 마크 해밀, 데이지 리들리, 애덤 드라이버, 존 보예가",O
잭 스나이더의 저스티스 리그,2021,"액션, 모험, 판타지",8.087,"벤 애플렉, 헨리 카빌, 갤 가돗, 레이 피셔, 제이슨 모모아",O
분노의 질주,2001,"액션, 범죄, 스릴러",7.01,"폴 워커, 빈 디젤, 미셸 로드리게즈, 조다나 브루스터, 릭 윤",X
매트릭스 3: 레볼루션,2003,"모험, 액션, 스릴러, SF",6.755,"키아누 리브스, 로렌스 피시번, 캐리 앤 모스, 휴고 위빙, 제이다 핀켓 스미스",O
슈퍼 마리오 브라더스,2023,"가족, 코미디, 모험, 판타지, 애니메이션",7.603,"크리스 프랫, 안야 테일러조이, 찰리 데이, 잭 블랙, 키건마이클 키",O
버즈 오브 프레이: 할리 퀸의 황홀한 해방,2020,"액션, 범죄",6.873,"마고 로비, 로지 페레즈, 메리 엘리자베스 윈스테드, 저니 스몰렛, 이완 맥그리거",O
분노의 질주: 더 익스트림,2017,"액션, 범죄, 스릴러",6.853,"빈 디젤, 제이슨 스타뎀, 드웨인 존슨, 미셸 로드리게즈, 타이리스 깁슨",O
미션 임파서블: 고스트 프로토콜,2011,"액션, 스릴러, 모험",7.115,"톰 크루즈, 폴라 패튼, 사이먼 페그, 제레미 레너, 미카엘 니크비스트",O
라이온 킹,2019,"모험, 드라마, 가족, 애니메이션",7.096,"치웨텔 에지오포, 존 올리버, 도널드 글로버, 제임스 얼 존스, 존 카니",O
미녀와 야수,1991,"로맨스, 가족, 애니메이션, 판타지",7.727,"Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers",O
맨 인 블랙 2,2002,"액션, 코미디, SF",6.388,"토미 리 존스, 윌 스미스, Rip Torn, Lara Flynn Boyle, 조니 녹스빌",X
토이 스토리 4,2019,"가족, 코미디, 애니메이션, 모험",7.5,"톰 행크스, 팀 앨런, 애니 포츠, 토니 헤일, 키건마이클 키",X
고질라 VS. 콩,2021,"액션, SF, 모험",7.534,"알렉산더 스카스가드, 레베카 홀, 케이리 호틀, 브라이언 타이리 헨리, 밀리 바비 브라운",O
나 홀로 집에 2: 뉴욕을 헤매다,1992,"코미디, 가족, 모험",6.789,"맥컬리 컬킨, 조 페시, 다니엘 스턴, 캐서린 오하라, John Heard",O
알라딘,2019,"모험, 판타지, 로맨스, 가족",7.083,"윌 스미스, 메나 마수드, 나오미 스콧, Marwan Kenzari, 나비드 네가반",O
행복을 찾아서,2006,드라마,7.888,"윌 스미스, 제이든 스미스, 탠디 뉴턴, 브라이언 하우, James Karen",O
버드 박스,2018,"공포, 스릴러, 드라마",6.823,"산드라 블록, Trevante Rhodes, 존 말코비치, 사라 폴슨, 재키 위버",X
오리엔트 특급 살인,2017,"미스터리, 드라마, 범죄",6.707,"케네스 브래너, 톰 베이트먼, 미셸 파이퍼, 조니 뎁, 조시 게드",O
스타 트렉: 더 비기닝,2009,"SF, 액션, 모험",7.434,"크리스 파인, 재커리 퀸토, 레너드 니모이, 에릭 배너, 브루스 그린우드",X
